CLIENT HOST	TOTAL	SUC_RATIO	NORMAL	WRONG	LOSS	DELAY
10.112.242.198:9001	163	51.53%	161	0	2	0
	2021-01-03 20:26:55:693 CST	DATA_seq: 1		ACKed
	2021-01-03 20:26:55:745 CST	DATA_seq: 201		ACKed
	2021-01-03 20:26:55:745 CST	*Re: DATA_seq: 201		ACKed
	2021-01-03 20:26:55:870 CST	DATA_seq: 1001		ACKed
	2021-01-03 20:26:55:870 CST	*Re: DATA_seq: 1001		ACKed
	2021-01-03 20:26:55:870 CST	*Re: DATA_seq: 1001		ACKed
	2021-01-03 20:26:55:870 CST	*Re: DATA_seq: 1001		ACKed
	2021-01-03 20:26:55:870 CST	*Re: DATA_seq: 1001		ACKed
	2021-01-03 20:26:55:870 CST	*Re: DATA_seq: 1001		ACKed
	2021-01-03 20:26:55:870 CST	*Re: DATA_seq: 1001		ACKed
	2021-01-03 20:26:55:870 CST	*Re: DATA_seq: 1001		ACKed
	2021-01-03 20:26:56:245 CST	DATA_seq: 3301		ACKed
	2021-01-03 20:26:56:245 CST	*Re: DATA_seq: 3301		ACKed
	2021-01-03 20:26:56:245 CST	*Re: DATA_seq: 3301		ACKed
	2021-01-03 20:26:56:245 CST	*Re: DATA_seq: 3301		ACKed
	2021-01-03 20:26:56:245 CST	*Re: DATA_seq: 3301		ACKed
	2021-01-03 20:26:56:245 CST	*Re: DATA_seq: 3301		ACKed
	2021-01-03 20:26:56:245 CST	*Re: DATA_seq: 3301		ACKed
	2021-01-03 20:26:56:245 CST	*Re: DATA_seq: 3301		ACKed
	2021-01-03 20:26:56:245 CST	*Re: DATA_seq: 3301		ACKed
	2021-01-03 20:26:56:245 CST	*Re: DATA_seq: 3301		ACKed
	2021-01-03 20:26:56:245 CST	*Re: DATA_seq: 3301		ACKed
	2021-01-03 20:26:56:245 CST	*Re: DATA_seq: 3301		ACKed
	2021-01-03 20:26:56:245 CST	*Re: DATA_seq: 3301		ACKed
	2021-01-03 20:26:56:245 CST	*Re: DATA_seq: 3301		ACKed
	2021-01-03 20:26:56:245 CST	*Re: DATA_seq: 3301		ACKed
	2021-01-03 20:26:56:245 CST	DATA_seq: 3301		ACKed
	2021-01-03 20:26:56:245 CST	*Re: DATA_seq: 3301		ACKed
	2021-01-03 20:26:56:245 CST	*Re: DATA_seq: 3301		ACKed
	2021-01-03 20:26:56:260 CST	*Re: DATA_seq: 3301		ACKed
	2021-01-03 20:26:56:260 CST	*Re: DATA_seq: 3301		ACKed
	2021-01-03 20:26:56:260 CST	*Re: DATA_seq: 3301		ACKed
	2021-01-03 20:26:56:260 CST	*Re: DATA_seq: 3301		ACKed
	2021-01-03 20:26:56:260 CST	*Re: DATA_seq: 3301		ACKed
	2021-01-03 20:26:56:977 CST	DATA_seq: 7901		ACKed
	2021-01-03 20:26:56:978 CST	*Re: DATA_seq: 7901		ACKed
	2021-01-03 20:26:56:978 CST	*Re: DATA_seq: 7901		ACKed
	2021-01-03 20:26:56:979 CST	*Re: DATA_seq: 7901		ACKed
	2021-01-03 20:26:56:979 CST	*Re: DATA_seq: 7901		ACKed
	2021-01-03 20:26:56:979 CST	*Re: DATA_seq: 7901		ACKed
	2021-01-03 20:26:56:980 CST	*Re: DATA_seq: 7901		ACKed
	2021-01-03 20:26:56:980 CST	*Re: DATA_seq: 7901		ACKed
	2021-01-03 20:26:56:981 CST	*Re: DATA_seq: 7901		ACKed
	2021-01-03 20:26:56:981 CST	*Re: DATA_seq: 7901		ACKed
	2021-01-03 20:26:56:982 CST	*Re: DATA_seq: 7901		ACKed
	2021-01-03 20:26:56:982 CST	*Re: DATA_seq: 7901		ACKed
	2021-01-03 20:26:56:983 CST	*Re: DATA_seq: 7901		ACKed
	2021-01-03 20:26:56:983 CST	*Re: DATA_seq: 7901		ACKed
	2021-01-03 20:26:56:985 CST	DATA_seq: 7901		ACKed
	2021-01-03 20:26:56:985 CST	*Re: DATA_seq: 7901		ACKed
	2021-01-03 20:26:56:986 CST	*Re: DATA_seq: 7901		ACKed
	2021-01-03 20:26:56:986 CST	*Re: DATA_seq: 7901		ACKed
	2021-01-03 20:26:56:986 CST	*Re: DATA_seq: 7901		ACKed
	2021-01-03 20:26:56:988 CST	*Re: DATA_seq: 7901		ACKed
	2021-01-03 20:26:56:988 CST	*Re: DATA_seq: 7901		ACKed
	2021-01-03 20:26:56:989 CST	*Re: DATA_seq: 7901		ACKed
	2021-01-03 20:26:56:990 CST	DATA_seq: 7901		ACKed
	2021-01-03 20:26:56:990 CST	*Re: DATA_seq: 7901		ACKed
	2021-01-03 20:26:56:991 CST	*Re: DATA_seq: 7901		ACKed
	2021-01-03 20:26:56:991 CST	*Re: DATA_seq: 7901		ACKed
	2021-01-03 20:26:56:991 CST	*Re: DATA_seq: 7901		ACKed
	2021-01-03 20:26:56:992 CST	*Re: DATA_seq: 7901		ACKed
	2021-01-03 20:26:56:992 CST	*Re: DATA_seq: 7901		ACKed
	2021-01-03 20:26:56:993 CST	*Re: DATA_seq: 7901		ACKed
	2021-01-03 20:26:56:994 CST	DATA_seq: 7901		ACKed
	2021-01-03 20:26:56:994 CST	*Re: DATA_seq: 7901		ACKed
	2021-01-03 20:26:56:994 CST	*Re: DATA_seq: 7901		ACKed
	2021-01-03 20:26:56:994 CST	*Re: DATA_seq: 7901		ACKed
	2021-01-03 20:26:56:994 CST	*Re: DATA_seq: 7901		ACKed
	2021-01-03 20:26:56:994 CST	*Re: DATA_seq: 7901		ACKed
	2021-01-03 20:26:56:994 CST	*Re: DATA_seq: 7901		ACKed
	2021-01-03 20:26:56:994 CST	*Re: DATA_seq: 7901		ACKed
	2021-01-03 20:26:56:994 CST	DATA_seq: 7901		ACKed
	2021-01-03 20:26:56:994 CST	*Re: DATA_seq: 7901		ACKed
	2021-01-03 20:26:56:994 CST	*Re: DATA_seq: 7901		ACKed
	2021-01-03 20:26:56:994 CST	*Re: DATA_seq: 7901		ACKed
	2021-01-03 20:26:56:994 CST	*Re: DATA_seq: 7901		ACKed
	2021-01-03 20:26:56:994 CST	*Re: DATA_seq: 7901		ACKed
	2021-01-03 20:26:56:994 CST	*Re: DATA_seq: 7901		ACKed
	2021-01-03 20:26:56:994 CST	*Re: DATA_seq: 7901		ACKed
	2021-01-03 20:26:58:452 CST	DATA_seq: 17101		NO_ACK
	2021-01-03 20:26:58:452 CST	*Re: DATA_seq: 17101		NO_ACK
	2021-01-03 20:26:58:452 CST	*Re: DATA_seq: 17101		NO_ACK
	2021-01-03 20:26:58:452 CST	*Re: DATA_seq: 17101		NO_ACK
	2021-01-03 20:26:58:457 CST	*Re: DATA_seq: 17101		NO_ACK
	2021-01-03 20:26:58:457 CST	*Re: DATA_seq: 17101	LOSS	NO_ACK
	2021-01-03 20:26:58:457 CST	*Re: DATA_seq: 17101		NO_ACK
	2021-01-03 20:26:58:458 CST	*Re: DATA_seq: 17101		NO_ACK
	2021-01-03 20:26:58:458 CST	*Re: DATA_seq: 17101		NO_ACK
	2021-01-03 20:26:58:458 CST	*Re: DATA_seq: 17101		NO_ACK
	2021-01-03 20:26:58:458 CST	*Re: DATA_seq: 17101		NO_ACK
	2021-01-03 20:26:58:459 CST	*Re: DATA_seq: 17101		NO_ACK
	2021-01-03 20:26:58:459 CST	*Re: DATA_seq: 17101		NO_ACK
	2021-01-03 20:26:58:459 CST	*Re: DATA_seq: 17101		NO_ACK
	2021-01-03 20:26:58:459 CST	*Re: DATA_seq: 17101		NO_ACK
	2021-01-03 20:26:58:459 CST	*Re: DATA_seq: 17101		NO_ACK
	2021-01-03 20:26:58:459 CST	*Re: DATA_seq: 17101		ACKed
	2021-01-03 20:26:58:459 CST	DATA_seq: 17101		NO_ACK
	2021-01-03 20:26:58:459 CST	*Re: DATA_seq: 17101		NO_ACK
	2021-01-03 20:26:58:459 CST	*Re: DATA_seq: 17101		NO_ACK
	2021-01-03 20:26:58:459 CST	*Re: DATA_seq: 17101		NO_ACK
	2021-01-03 20:26:58:459 CST	*Re: DATA_seq: 17101		NO_ACK
	2021-01-03 20:26:58:459 CST	*Re: DATA_seq: 17101		NO_ACK
	2021-01-03 20:26:58:459 CST	*Re: DATA_seq: 17101		NO_ACK
	2021-01-03 20:26:58:459 CST	*Re: DATA_seq: 17101		NO_ACK
	2021-01-03 20:26:58:459 CST	*Re: DATA_seq: 17101		NO_ACK
	2021-01-03 20:26:58:459 CST	*Re: DATA_seq: 17101		NO_ACK
	2021-01-03 20:26:58:459 CST	*Re: DATA_seq: 17101		NO_ACK
	2021-01-03 20:26:58:459 CST	*Re: DATA_seq: 17101		NO_ACK
	2021-01-03 20:26:58:459 CST	*Re: DATA_seq: 17101		NO_ACK
	2021-01-03 20:26:58:459 CST	*Re: DATA_seq: 17101		NO_ACK
	2021-01-03 20:26:58:459 CST	*Re: DATA_seq: 17101		NO_ACK
	2021-01-03 20:26:58:459 CST	*Re: DATA_seq: 17101		NO_ACK
	2021-01-03 20:26:58:459 CST	*Re: DATA_seq: 17101		NO_ACK
	2021-01-03 20:26:58:459 CST	*Re: DATA_seq: 17101		NO_ACK
	2021-01-03 20:26:58:459 CST	*Re: DATA_seq: 17101		NO_ACK
	2021-01-03 20:26:58:459 CST	*Re: DATA_seq: 17101		NO_ACK
	2021-01-03 20:26:58:459 CST	*Re: DATA_seq: 17101		NO_ACK
	2021-01-03 20:26:58:459 CST	*Re: DATA_seq: 17101		NO_ACK
	2021-01-03 20:26:58:459 CST	*Re: DATA_seq: 17101		NO_ACK
	2021-01-03 20:26:58:459 CST	*Re: DATA_seq: 17101		NO_ACK
	2021-01-03 20:26:58:459 CST	*Re: DATA_seq: 17101		NO_ACK
	2021-01-03 20:26:58:459 CST	*Re: DATA_seq: 17101		NO_ACK
	2021-01-03 20:26:58:459 CST	*Re: DATA_seq: 17101		NO_ACK
	2021-01-03 20:26:58:459 CST	*Re: DATA_seq: 17101		ACKed
	2021-01-03 20:26:58:459 CST	DATA_seq: 17101		NO_ACK
	2021-01-03 20:26:58:459 CST	*Re: DATA_seq: 17101		NO_ACK
	2021-01-03 20:26:58:459 CST	*Re: DATA_seq: 17101		NO_ACK
	2021-01-03 20:26:58:459 CST	*Re: DATA_seq: 17101		NO_ACK
	2021-01-03 20:26:58:459 CST	*Re: DATA_seq: 17101		NO_ACK
	2021-01-03 20:26:58:459 CST	*Re: DATA_seq: 17101		NO_ACK
	2021-01-03 20:26:58:459 CST	*Re: DATA_seq: 17101		NO_ACK
	2021-01-03 20:26:58:459 CST	*Re: DATA_seq: 17101		NO_ACK
	2021-01-03 20:26:58:459 CST	*Re: DATA_seq: 17101		NO_ACK
	2021-01-03 20:26:58:459 CST	*Re: DATA_seq: 17101		NO_ACK
